id,language,gender_context,category,student_statement,advisor_reply
23,RomanUrdu,Female,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai,Semester freeze allow hoti hai professional training ke liye
24,RomanUrdu,Male,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi,Medical certificate submit karein aur semester freeze request karein
25,English,Female,Gender/Role Specific,Safety issues ki wajah se campus travel possible nahi,Temporary semester freeze request karein safety ke liye
26,RomanUrdu,Neutral,Academic Issues,I failed PF and OOP both and I need time to prepare again,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein
27,Mixed,Male,Academic Issues,"CGPA below average hai, degree complete ho payegi ya nahi samajh nahi aa raha. Is liye semester freeze request kar raha/rahi hoon",Semester freeze ke dauran CGPA improve karne ka plan banayein. Advisor ne recommend kiya hai semester freeze lene ke liye
28,English,Female,Administrative Issues,Teacher change request process clear nahi hai,Advisor se guide lein aur semester pause consider karein
29,English,Neutral,Medical Issues,Medical condition ki wajah se campus ana possible nahi,Semester freeze submit karen taake aap recovery pe focus karein
30,English,Female,Personal/Family Issues,Ghar walay business sambhalne ko keh rahe hain,Temporary semester freeze le kar responsibilities manage karein
31,Mixed,Female,Medical Issues,Medical condition ki wajah se campus ana possible nahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze submit karen taake aap recovery pe focus karein. Advisor ne recommend kiya hai semester freeze lene ke liye
32,Mixed,Neutral,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Medical certificate submit karein aur semester freeze request karein. Advisor ne recommend kiya hai semester freeze lene ke liye
33,RomanUrdu,Neutral,Financial Issues,Main temporary full time job kar raha hoon to support family,Semester freeze le kar aap work aur studies dono manage kar sakte hain
34,Mixed,Female,Mental Health,Severe burnout ho gaya hai aur focus nahi ban raha. Is liye semester freeze request kar raha/rahi hoon,Semester pause karna aapke liye beneficial hoga. Advisor ne recommend kiya hai semester freeze lene ke liye
35,RomanUrdu,Neutral,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha",Semester freeze consider karein jab tak schedule fix na ho
36,English,Male,Financial Issues,I lost my scholarship and cannot afford this semester,Financial support ke liye advisor ya office se discuss karein
37,English,Male,Mental Health,Stress ki wajah se exams par focus nahi ho raha,Semester freeze allow hoti hai stress aur burnout ke cases me
38,English,Male,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi,Medical certificate submit karein aur semester freeze request karein
39,English,Male,Personal/Family Issues,Family migration ki wajah se semester pause karna hai,Semester freeze allow hoti hai relocation ya migration case me
40,English,Neutral,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye
41,Mixed,Male,Personal/Family Issues,Meri shaadi fix ho gayi hai aur relocation ho rahi hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai relocation ya marriage ki wajah se. Advisor ne recommend kiya hai semester freeze lene ke liye
42,Mixed,Female,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein childcare ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
43,English,Neutral,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai,Semester pause kar sakte hain jab tak facility arrange na ho
44,RomanUrdu,Neutral,Gender/Role Specific,Family business sambhalna par raha hai temporarily,Semester freeze le kar aap responsibilities manage kar sakte hain
45,English,Male,Gender/Role Specific,Father hospital mein hain aur mujhe ghar sambhalna hai,Semester pause allow hoti hai family care ke liye
46,English,Female,Mental Health,Mentally drained hoon aur semester manage nahi kar pa raha,Semester freeze ke dauran rest aur recovery pe focus karein
47,RomanUrdu,Male,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai,Semester freeze allow hoti hai professional training ke liye
48,English,Male,Academic Issues,I dropped many courses and now I am confused what to enroll next,Academic advisor se consult karein aur proper enrollment plan banayein
49,RomanUrdu,Neutral,Gender/Role Specific,Family business sambhalna par raha hai temporarily,Semester freeze le kar aap responsibilities manage kar sakte hain
50,English,Female,Mental Health,Severe burnout ho gaya hai aur focus nahi ban raha,Semester pause karna aapke liye beneficial hoga
51,RomanUrdu,Neutral,Financial Issues,I lost my scholarship and cannot afford this semester,Financial support ke liye advisor ya office se discuss karein
52,English,Female,Administrative Issues,Semester freeze policy properly samajh nahi aa rahi,Office se clarify karein aur request submit karein
53,RomanUrdu,Neutral,Financial Issues,Late fee fine lag gaya hai aur arrange nahi ho raha,Late fine waiver ya installment ke liye office se contact karein
54,English,Female,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain,Foundation courses complete karne ke baad advance courses enroll karein
55,Mixed,Female,Academic Issues,I dropped many courses and now I am confused what to enroll next. Is liye semester freeze request kar raha/rahi hoon,Academic advisor se consult karein aur proper enrollment plan banayein. Advisor ne recommend kiya hai semester freeze lene ke liye
56,RomanUrdu,Neutral,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai,Semester pause kar sakte hain jab tak facility arrange na ho
57,Mixed,Male,Gender/Role Specific,Safety issues ki wajah se campus travel possible nahi. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze request karein safety ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
58,RomanUrdu,Male,Mental Health,Anxiety attacks ki wajah se studies disturb ho rahi hain,Semester freeze le kar mental health improve karein
59,RomanUrdu,Male,Personal/Family Issues,Meri shaadi fix ho gayi hai aur relocation ho rahi hai,Semester freeze allow hoti hai relocation ya marriage ki wajah se
60,RomanUrdu,Neutral,Financial Issues,I lost my scholarship and cannot afford this semester,Financial support ke liye advisor ya office se discuss karein
61,English,Neutral,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain,Foundation courses complete karne ke baad advance courses enroll karein
62,English,Male,Mental Health,Mentally bohat exhausted feel kar raha hoon,Mental health ke liye temporary semester freeze consider karein
63,RomanUrdu,Female,Medical Issues,Recovery after COVID ki wajah se classes miss ho rahi hain,Semester freeze recommended hai taake aap fully recover kar sakein
64,English,Male,Personal/Family Issues,Ghar walay business sambhalne ko keh rahe hain,Temporary semester freeze le kar responsibilities manage karein
65,English,Male,Mental Health,Anxiety attacks ki wajah se studies disturb ho rahi hain,Semester freeze le kar mental health improve karein
66,RomanUrdu,Neutral,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain,Foundation courses complete karne ke baad advance courses enroll karein
67,English,Neutral,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi,Semester freeze allow ki ja sakti hai timing issues me
68,RomanUrdu,Male,Administrative Issues,Teacher change request process clear nahi hai,Advisor se guide lein aur semester pause consider karein
69,RomanUrdu,Neutral,Personal/Family Issues,Family migration ki wajah se semester pause karna hai,Semester freeze allow hoti hai relocation ya migration case me
70,English,Male,Medical Issues,Medical condition ki wajah se campus ana possible nahi,Semester freeze submit karen taake aap recovery pe focus karein
71,Mixed,Female,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai professional training ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
72,English,Male,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi,Medical certificate submit karein aur semester freeze request karein
73,English,Male,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha,Semester freeze le kar workload manage karein
74,RomanUrdu,Male,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
75,English,Male,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
76,RomanUrdu,Neutral,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain,Foundation courses complete karne ke baad advance courses enroll karein
77,RomanUrdu,Neutral,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti,Semester freeze allow hoti hai maternity reasons me
78,RomanUrdu,Male,Medical Issues,Medical condition ki wajah se campus ana possible nahi,Semester freeze submit karen taake aap recovery pe focus karein
79,Mixed,Neutral,Medical Issues,Accident hua hai aur physiotherapy chal rahi hai. Is liye semester freeze request kar raha/rahi hoon,Recovery ke liye semester freeze recommended hai. Advisor ne recommend kiya hai semester freeze lene ke liye
80,English,Female,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi,Medical certificate submit karein aur semester freeze request karein
81,Mixed,Neutral,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein taake aap family care kar sakein. Advisor ne recommend kiya hai semester freeze lene ke liye
82,Mixed,Male,Personal/Family Issues,Family pressure hai ke main degree chor doon. Is liye semester freeze request kar raha/rahi hoon,Advisor se discuss karein aur semester freeze consider karein. Advisor ne recommend kiya hai semester freeze lene ke liye
83,English,Male,Academic Issues,I dropped many courses and now I am confused what to enroll next,Academic advisor se consult karein aur proper enrollment plan banayein
84,Mixed,Male,Academic Issues,I dropped many courses and now I am confused what to enroll next. Is liye semester freeze request kar raha/rahi hoon,Academic advisor se consult karein aur proper enrollment plan banayein. Advisor ne recommend kiya hai semester freeze lene ke liye
85,RomanUrdu,Neutral,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain,Foundation courses complete karne ke baad advance courses enroll karein
86,English,Female,Local/Other Issues,Lab resource unavailable hai is liye semester freeze request kar raha/rahi hoon,Semester pause consider karein jab tak resources available na ho
87,Mixed,Female,Medical Issues,Accident hua hai aur physiotherapy chal rahi hai. Is liye semester freeze request kar raha/rahi hoon,Recovery ke liye semester freeze recommended hai. Advisor ne recommend kiya hai semester freeze lene ke liye
88,RomanUrdu,Male,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha,Semester freeze le kar workload manage karein
89,English,Female,Local/Other Issues,Lab resource unavailable hai is liye semester freeze request kar raha/rahi hoon,Semester pause consider karein jab tak resources available na ho
90,English,Neutral,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti,Semester freeze allow hoti hai maternity reasons me
91,RomanUrdu,Neutral,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha,Semester freeze le kar workload manage karein
92,Mixed,Female,Personal/Family Issues,Family pressure hai ke main degree chor doon. Is liye semester freeze request kar raha/rahi hoon,Advisor se discuss karein aur semester freeze consider karein. Advisor ne recommend kiya hai semester freeze lene ke liye
93,RomanUrdu,Male,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi,Semester freeze request kar sakte hain jab timetable adjust ho
94,RomanUrdu,Male,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai,Semester freeze request karein taake aap family care kar sakein
95,RomanUrdu,Female,Personal/Family Issues,Family pressure hai ke main degree chor doon,Advisor se discuss karein aur semester freeze consider karein
96,English,Neutral,Administrative Issues,Teacher change request process clear nahi hai,Advisor se guide lein aur semester pause consider karein
97,RomanUrdu,Male,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai,Semester freeze allow hoti hai professional training ke liye
98,Mixed,Male,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar aap family support kar sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
99,English,Neutral,Academic Issues,I failed PF and OOP both and I need time to prepare again,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein
100,English,Female,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta,Semester freeze allow ki ja sakti hai illness ke liye
101,Mixed,Female,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein childcare ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
102,English,Male,Mental Health,Stress ki wajah se exams par focus nahi ho raha,Semester freeze allow hoti hai stress aur burnout ke cases me
103,RomanUrdu,Male,Local/Other Issues,Transport strike ke wajah se classes attend nahi ho rahi,Semester freeze request karein jab tak transport restore na ho
104,English,Neutral,Mental Health,Mentally drained hoon aur semester manage nahi kar pa raha,Semester freeze ke dauran rest aur recovery pe focus karein
105,RomanUrdu,Male,Mental Health,Mentally bohat exhausted feel kar raha hoon,Mental health ke liye temporary semester freeze consider karein
106,English,Female,Academic Issues,"CGPA below average hai, degree complete ho payegi ya nahi samajh nahi aa raha",Semester freeze ke dauran CGPA improve karne ka plan banayein
107,Mixed,Female,Local/Other Issues,Floods damaged roads and internet is not working. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow ki ja sakti hai disaster situations me. Advisor ne recommend kiya hai semester freeze lene ke liye
108,English,Neutral,Gender/Role Specific,Father hospital mein hain aur mujhe ghar sambhalna hai,Semester pause allow hoti hai family care ke liye
109,Mixed,Male,Administrative Issues,Semester freeze policy properly samajh nahi aa rahi. Is liye semester freeze request kar raha/rahi hoon,Office se clarify karein aur request submit karein. Advisor ne recommend kiya hai semester freeze lene ke liye
110,English,Female,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi,Semester freeze allow ki ja sakti hai timing issues me
111,Mixed,Female,Mental Health,Stress ki wajah se exams par focus nahi ho raha. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai stress aur burnout ke cases me. Advisor ne recommend kiya hai semester freeze lene ke liye
112,RomanUrdu,Female,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta,Semester freeze allow ki ja sakti hai illness ke liye
113,English,Male,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye
114,Mixed,Male,Administrative Issues,Semester freeze policy properly samajh nahi aa rahi. Is liye semester freeze request kar raha/rahi hoon,Office se clarify karein aur request submit karein. Advisor ne recommend kiya hai semester freeze lene ke liye
115,English,Neutral,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha",Semester freeze consider karein jab tak schedule fix na ho
116,English,Neutral,Personal/Family Issues,Meri shaadi fix ho gayi hai aur relocation ho rahi hai,Semester freeze allow hoti hai relocation ya marriage ki wajah se
117,Mixed,Male,Local/Other Issues,Transport strike ke wajah se classes attend nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein jab tak transport restore na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
118,Mixed,Female,Financial Issues,Late fee fine lag gaya hai aur arrange nahi ho raha. Is liye semester freeze request kar raha/rahi hoon,Late fine waiver ya installment ke liye office se contact karein. Advisor ne recommend kiya hai semester freeze lene ke liye
119,Mixed,Neutral,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha. Is liye semester freeze request kar raha/rahi hoon",Semester freeze consider karein jab tak schedule fix na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
120,RomanUrdu,Neutral,Personal/Family Issues,Ghar walay business sambhalne ko keh rahe hain,Temporary semester freeze le kar responsibilities manage karein
121,Mixed,Male,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
122,English,Male,Administrative Issues,Degree extension ka issue hai aur guidance chahiye,Semester freeze ke sath degree extension process initiate karein
123,RomanUrdu,Male,Academic Issues,I failed PF and OOP both and I need time to prepare again,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein
124,English,Female,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha,Semester freeze le kar workload manage karein
125,English,Neutral,Administrative Issues,Timetable clash hai aur meri classes manage nahi ho rahi,Semester freeze request kar sakte hain jab timetable adjust ho
126,English,Male,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi,Semester freeze request karein childcare ke liye
127,Mixed,Male,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai maternity reasons me. Advisor ne recommend kiya hai semester freeze lene ke liye
128,RomanUrdu,Neutral,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
129,English,Neutral,Local/Other Issues,Lab resource unavailable hai is liye semester freeze request kar raha/rahi hoon,Semester pause consider karein jab tak resources available na ho
130,RomanUrdu,Male,Mental Health,Depression ki wajah se classes miss ho rahi hain,Advisor ke saath discuss karein aur semester freeze lein
131,RomanUrdu,Male,Academic Issues,I failed PF and OOP both and I need time to prepare again,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein
132,English,Neutral,Personal/Family Issues,Family pressure hai ke main degree chor doon,Advisor se discuss karein aur semester freeze consider karein
133,English,Female,Financial Issues,My fee is unpaid and family income suddenly stopped,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain
134,RomanUrdu,Neutral,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi,Semester freeze request karein childcare ke liye
135,RomanUrdu,Female,Mental Health,Anxiety attacks ki wajah se studies disturb ho rahi hain,Semester freeze le kar mental health improve karein
136,English,Female,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
137,Mixed,Female,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai maternity reasons me. Advisor ne recommend kiya hai semester freeze lene ke liye
138,English,Neutral,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta,Semester freeze allow ki ja sakti hai illness ke liye
139,Mixed,Neutral,Personal/Family Issues,Family migration ki wajah se semester pause karna hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai relocation ya migration case me. Advisor ne recommend kiya hai semester freeze lene ke liye
140,Mixed,Male,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai. Is liye semester freeze request kar raha/rahi hoon,Semester pause kar sakte hain jab tak facility arrange na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
141,English,Female,Financial Issues,Fees installment allow nahi ki ja rahi hai university policy ke wajah se,Office se discuss karein aur special request submit karein
142,English,Female,Mental Health,Mentally bohat exhausted feel kar raha hoon,Mental health ke liye temporary semester freeze consider karein
143,Mixed,Neutral,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein childcare ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
144,Mixed,Male,Local/Other Issues,Floods damaged roads and internet is not working. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow ki ja sakti hai disaster situations me. Advisor ne recommend kiya hai semester freeze lene ke liye
145,RomanUrdu,Male,Financial Issues,Main temporary full time job kar raha hoon to support family,Semester freeze le kar aap work aur studies dono manage kar sakte hain
146,RomanUrdu,Neutral,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi,Semester freeze allow ki ja sakti hai timing issues me
147,English,Male,Financial Issues,Main temporary full time job kar raha hoon to support family,Semester freeze le kar aap work aur studies dono manage kar sakte hain
148,Mixed,Male,Personal/Family Issues,Family migration ki wajah se semester pause karna hai. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow hoti hai relocation ya migration case me. Advisor ne recommend kiya hai semester freeze lene ke liye
149,Mixed,Male,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Semester pause request submit karein taake classes miss na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
150,English,Male,Financial Issues,Fees installment allow nahi ki ja rahi hai university policy ke wajah se,Office se discuss karein aur special request submit karein
151,RomanUrdu,Female,Academic Issues,"CGPA below average hai, degree complete ho payegi ya nahi samajh nahi aa raha",Semester freeze ke dauran CGPA improve karne ka plan banayein
152,RomanUrdu,Male,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai,Semester freeze request karein taake aap family care kar sakein
153,Mixed,Female,Local/Other Issues,Floods damaged roads and internet is not working. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow ki ja sakti hai disaster situations me. Advisor ne recommend kiya hai semester freeze lene ke liye
154,English,Neutral,Personal/Family Issues,Ghar walay business sambhalne ko keh rahe hain,Temporary semester freeze le kar responsibilities manage karein
155,RomanUrdu,Neutral,Personal/Family Issues,Family migration ki wajah se semester pause karna hai,Semester freeze allow hoti hai relocation ya migration case me
156,Mixed,Male,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Medical certificate submit karein aur semester freeze request karein. Advisor ne recommend kiya hai semester freeze lene ke liye
157,RomanUrdu,Male,Financial Issues,I lost my scholarship and cannot afford this semester,Financial support ke liye advisor ya office se discuss karein
158,Mixed,Neutral,Administrative Issues,Semester freeze policy properly samajh nahi aa rahi. Is liye semester freeze request kar raha/rahi hoon,Office se clarify karein aur request submit karein. Advisor ne recommend kiya hai semester freeze lene ke liye
159,English,Male,Financial Issues,Abbu ki job chali gayi hai is liye semester freeze chahiye,Temporary semester freeze allow ki ja sakti hai financial crisis ke liye
160,Mixed,Neutral,Mental Health,Mentally bohat exhausted feel kar raha hoon. Is liye semester freeze request kar raha/rahi hoon,Mental health ke liye temporary semester freeze consider karein. Advisor ne recommend kiya hai semester freeze lene ke liye
161,Mixed,Male,Gender/Role Specific,Father hospital mein hain aur mujhe ghar sambhalna hai. Is liye semester freeze request kar raha/rahi hoon,Semester pause allow hoti hai family care ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
162,RomanUrdu,Neutral,Academic Issues,I failed PF and OOP both and I need time to prepare again,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein
163,RomanUrdu,Male,Academic Issues,I failed PF and OOP both and I need time to prepare again,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein
164,English,Neutral,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi,Medical certificate submit karein aur semester freeze request karein
165,RomanUrdu,Female,Academic Issues,I failed PF and OOP both and I need time to prepare again,Aap semester freeze le sakte hain aur next semester me core subjects dobara enroll karein
166,English,Female,Mental Health,Depression ki wajah se classes miss ho rahi hain,Advisor ke saath discuss karein aur semester freeze lein
167,English,Male,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
168,RomanUrdu,Male,Academic Issues,Basics weak hain is liye advanced courses tough lag rahe hain,Foundation courses complete karne ke baad advance courses enroll karein
169,RomanUrdu,Female,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha,Semester freeze le kar workload manage karein
170,Mixed,Male,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha. Is liye semester freeze request kar raha/rahi hoon",Semester freeze consider karein jab tak schedule fix na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
171,Mixed,Neutral,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar workload manage karein. Advisor ne recommend kiya hai semester freeze lene ke liye
172,Mixed,Male,Medical Issues,Recovery after COVID ki wajah se classes miss ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Semester freeze recommended hai taake aap fully recover kar sakein. Advisor ne recommend kiya hai semester freeze lene ke liye
173,Mixed,Male,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein childcare ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
174,Mixed,Male,Administrative Issues,Semester freeze policy properly samajh nahi aa rahi. Is liye semester freeze request kar raha/rahi hoon,Office se clarify karein aur request submit karein. Advisor ne recommend kiya hai semester freeze lene ke liye
175,English,Female,Financial Issues,I lost my scholarship and cannot afford this semester,Financial support ke liye advisor ya office se discuss karein
176,English,Neutral,Academic Issues,I dropped many courses and now I am confused what to enroll next,Academic advisor se consult karein aur proper enrollment plan banayein
177,Mixed,Female,Local/Other Issues,Transport strike ke wajah se classes attend nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein jab tak transport restore na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
178,Mixed,Neutral,Medical Issues,Accident hua hai aur physiotherapy chal rahi hai. Is liye semester freeze request kar raha/rahi hoon,Recovery ke liye semester freeze recommended hai. Advisor ne recommend kiya hai semester freeze lene ke liye
179,English,Male,Local/Other Issues,Lab resource unavailable hai is liye semester freeze request kar raha/rahi hoon,Semester pause consider karein jab tak resources available na ho
